Domain,Phylum,Class,Order,Family,Genus,Species,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Symbiodinium,S. linucheae,A4-A4ab-A4aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Symbiodinium,"S. natans,S. tridacnidorum",A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Symbiodinium,S. linucheae,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Symbiodinium,None,A13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Breviolum,"S. minutum,S. antillogorgium,S. pseudominutum",B1-B1x-B1t-B14b-B1af-B1ae-B1ag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Breviolum,None,B19/B5af-B19e-B19c-B5ag-B19d-B19f-B40a-B19h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Breviolum,"S. minutum,S. antillogorgium,S. pseudominutum",B1-B1z-B1aa-B1ad-B1ac-B1ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Breviolum,"S. minutum,S. antillogorgium,S. pseudominutum",B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Breviolum,None,B19-B5af-B19e-B19c-B19d-B19g-B19f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Breviolum,"S. minutum,S. antillogorgium,S. pseudominutum",B1-B1x-B1ai-B5ah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
