sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
B1,64384,0.29492624221175046,-0.05280607086543469,-8.144193472160115e-17,0.005522003173229039,0.134730728777382,0.2777411623351958,0.06302913901863058,0.06934656412015633,-0.027879314929976917,0.00043193264554899246,0.0754223939119434,0.0017593168811626647,-0.0
B5,64386,-0.285494563125196,0.5010348443541355,-0.4999999999999999,0.06472522075601839,-0.004357572776995129,0.01906755391338811,-0.004634711686803581,-0.004437943819380033,0.0019124342893464255,0.002428914037248343,4.409153342276778e-08,-0.0008290518211439415,-0.0
B1-B1g,64391,0.29492507746385116,-0.05280565840146034,-2.747661802696606e-16,0.005521965239599164,0.13473159335414872,0.2777434579880634,0.06303034187096768,0.06934816166370927,-0.02788015630830188,0.0004317836572420833,-0.07542185182366065,0.0017584518416313712,-0.0
B19-B5af-B19e-B19c-B19d-B19g-B19f,64395,-0.598301718761795,-0.29276759829480625,-5.887846720064155e-17,0.1443779261256552,0.0035584118666795624,0.0014552166590565078,-0.002152120910931413,-0.002414682381346329,0.0013673643678517502,0.12612017496738326,-3.955819072359633e-08,0.0005394299847674293,-0.0
B1-B1z-B1aa-B1ad-B1ac-B1ab,64396,0.2525876929861308,-0.026762150702929824,5.3971928267254754e-17,-0.008998099141620924,0.18285057977434802,-0.2188593015027553,-0.2432615995913489,0.15140449561148242,-0.05780868440790187,0.000793003210705169,-2.319091648340207e-08,-0.0035972784714597156,-0.0
B1-B1x-B1t-B14b-B1af-B1ae-B1ag,64397,0.2512319224275861,-0.030943303304337692,2.453269466693398e-16,0.009578169202446904,-0.34466285751231585,-0.1222194428528844,0.08754258774696769,0.15092748152349958,0.0795288157726288,-0.00038865781121002866,-3.3399547227926055e-07,0.03719356305799123,-0.0
B1-B1ah-B1aa,64398,0.29632870964279495,-0.04840109519787692,1.177569344012831e-16,-0.001878268078275514,0.17818539667148584,-0.01752070084595623,-0.06761864510242646,-0.14428618399939935,0.21828031772956502,-0.0007176230010312745,-4.524494056745531e-07,0.01164888702727802,-0.0
B19/B5af-B19e-B19c-B5ag-B19d-B19f-B40a-B19h,64399,-0.5803429299109897,-0.28417542353432673,9.813077866773592e-17,0.24304231323425732,0.007247324532103004,-0.0029502686374781287,-0.000390261070530217,-0.00024269460605145523,-0.00010325629933019887,-0.11611677244064468,6.847101492408097e-08,-0.0011009284298608508,-0.0
B1-B1x-B1ai-B5ah,64400,0.29673216417124565,-0.052228452028306026,2.551400245361134e-16,0.011195647247224669,-0.18779200789581588,0.04453442459978522,-0.09912126017893659,-0.1939701226464068,-0.14610408149949222,-0.0007902146804339051,-4.587545267402916e-07,0.030478898840943167,-0.0
B1-B1al-B1aj-B1ak-B1aa,64404,0.22736196312899912,-0.01400644942925974,1.226634733346699e-16,-0.013141275314160063,0.1914816833940985,-0.31488093929894023,0.23405200865745954,-0.06297549310165372,-0.07094335704975537,0.0012307066941280344,6.82530430088493e-08,-0.008919194747462255,-0.0
B1-B1x-B1t-B14b,64405,0.31263853482281534,-0.05762296046702626,6.869154506741515e-17,0.013800526222703025,-0.27219519293302946,0.016894483571135394,-0.022767779152956937,-0.025371686152934576,0.026517031472715606,0.002157853574748551,5.015087383217018e-07,-0.06739276079445666,-0.0
B19,64408,-0.477098531931996,-0.08955052648250617,-2.747661802696606e-16,-0.5384713494230939,-0.01942051447509432,0.019926800158001627,-0.0030729879132898974,-0.002889952392296054,0.00120045257330371,-0.018010014890934567,3.944436327130019e-08,-0.0007102815482554037,-0.0
B5ai,64411,-0.285494563125196,0.5010348443541354,0.5000000000000001,0.06472522075601808,-0.004357572776994877,0.019067553913388446,-0.004634711686803515,-0.004437943819379912,0.0019124342893464183,0.0024289140372483285,4.409153339020236e-08,-0.0008290518211439561,-0.0
proportion_explained,0,0.39194902998046954,0.15855809827301245,0.11449935410035597,0.08678372378167779,0.08399293454851603,0.07327485311721053,0.03309915613471852,0.027119565466205336,0.019684885751852753,0.006809053672752802,0.002605316754415676,0.0016240284188127083,0.0
