sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
B1,64384,-0.06273813025361412,0.004637662354414315,0.001557937999184776,0.0014368841809053305,-0.00013084436361329572,-0.0016939986418755314,-0.0013322370858309608,-0.002838981800790721,-0.001960442981179662,0.0,0.0,0.0,0.0
B1-B1g,64391,-0.06769131075687125,0.0057561170276485395,0.0011641229878951414,0.0012103680493627477,-0.00024238705990168273,-0.0003805123122903576,-0.0008065766237938913,0.007556268666453876,0.00156985260815135,0.0,0.0,0.0,0.0
B1-B1z-B1aa-B1ad-B1ac-B1ab,64396,-0.08992044913897294,0.015159646024990052,0.020250732306404437,0.028046840830861754,0.00020853698748017667,-0.001875766879622587,-0.0015555255495592521,-0.0007483044322062947,1.3133148428322887e-05,0.0,0.0,0.0,0.0
B1-B1x-B1t-B14b-B1af-B1ae-B1ag,64397,-0.0882831148548447,0.014909893976473266,-0.02837141654191685,-0.0008519793449002536,0.0013346439515471607,-0.013142644348675972,-0.00014364272270849508,0.0010720977266905937,-0.001995798096668099,0.0,0.0,0.0,0.0
B1-B1ah-B1aa,64398,-0.08787215706105579,0.014742578951375965,0.021010315886555504,-0.020113338167642394,0.0002490745618346093,-0.0011591961715097599,-0.010793139894635293,-0.0005991280848399007,8.553052342677684e-07,0.0,0.0,0.0,0.0
B1-B1x-B1ai-B5ah,64400,-0.08048757260390363,0.011030575191857387,-0.01316517878657271,0.0003872685041832026,-0.0018840816046680063,0.020143586933898193,2.070983207716467e-05,0.0005693306154279294,-0.001635774771836865,0.0,0.0,0.0,0.0
B1-B1al-B1aj-B1ak-B1aa,64404,-0.08228562333492592,0.012342546897614218,0.015663465822088593,-0.010792849249140061,4.215613039067798e-05,-0.0013246586905794771,0.015764815305137327,-0.0005001666931064963,4.6062044396231924e-05,0.0,0.0,0.0,0.0
B1-B1x-B1t-B14b,64405,-0.08034788850501448,0.011920019576515006,-0.019527762353421928,9.759185254656177e-06,-8.643778539976462e-05,0.0010050304930846526,-0.0005832875946777159,-0.003603166705155254,0.003987921353389727,0.0,0.0,0.0,0.0
B5,64386,-0.025927850038546092,-0.021403892317008438,0.00129577936657288,0.0008228966294646728,-0.000916195077556661,-0.0015938844772823656,-0.0006304944518689531,-0.0009450273463262452,-4.736165361548328e-05,0.0,0.0,0.0,0.0
B19-B5af-B19e-B19c-B19d-B19g-B19f,64395,0.25057139760065855,0.004167396665224574,3.613854793144638e-05,3.067360171049759e-05,0.018097720406178172,0.0016764008932435533,8.064244423938217e-05,3.40370421629939e-05,8.849725388254017e-07,0.0,0.0,0.0,0.0
B19/B5af-B19e-B19c-B5ag-B19d-B19f-B40a-B19h,64399,0.2760659655389706,0.006767790144878848,-0.0001229284075202539,-0.00011870561807642162,-0.01704262739250184,-0.0014267353149933768,-1.109458290459487e-05,1.8574261349077906e-05,6.183043638018349e-07,0.0,0.0,0.0,0.0
B19,64408,0.19217618828033944,-0.0008687221906042951,0.0002804448595706722,0.00015528415500988644,0.000590052730643403,-0.00020133201257437267,-8.623754109604158e-05,-6.409287710433737e-05,1.348023242767688e-06,0.0,0.0,0.0,0.0
B5ai,64411,-0.05325945487221966,-0.07916161230337908,-7.16516867720209e-05,-0.0002231027569937358,-0.00021961148443561208,-2.628947082296186e-05,7.60684656235397e-05,4.855962744940543e-05,1.8701743557931856e-05,0.0,0.0,0.0,0.0
proportion_explained,0,0.9452069951845096,0.03240624370320107,0.010062656908037303,0.00536572621689624,0.002553389096735386,0.0024382382985555055,0.0015148810796224105,0.0003338524936415993,0.00011801701880094438,0.0,0.0,0.0,0.0
