sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
CH_Mcav_06_2017,106113,0.2898895279899599,-0.037523081760630225,0.06097613800443774,0.011645300993205555,0.007252753758626761,-0.0011251765331260423,0.0,0.0,0.0
WP_Oann_24_2017,106120,-0.687300031983133,-0.24047979282535878,-1.8072381140590543e-05,-9.097219504374547e-06,-8.037144854867926e-06,-2.1449261130139402e-07,0.0,0.0,0.0
CH_Pfur_15_2017,106122,0.2913836084152035,-0.03801988111678743,-0.010666906870422783,-0.03090545977889861,0.010757737358912752,-0.0021391214673965623,0.0,0.0,0.0
ET_Pfur_30_2017,106138,0.2917800498160397,-0.03815099564675376,0.003638264745298633,-0.008474105999647045,-0.01901185022799785,0.004539593749263641,0.0,-0.0,0.0
ET_Pfur_43_2017,106150,0.2907289906734424,-0.03780318018284552,-0.04426638250898982,0.017770196338724287,0.008734210755567035,0.005617940078850765,0.0,0.0,0.0
WP_Ofav_64_2017,106169,-0.687300031983133,-0.24047979282535864,-1.8072381140689236e-05,-9.09721950505376e-06,-8.03714485587282e-06,-2.1449261672751895e-07,0.0,-0.0,0.0
WP_Oann_67_2017,106172,-0.37278136173382553,0.7087714940225412,-3.637852172503813e-05,-1.8223373011954324e-05,-1.608477310826331e-05,-4.2906850302312346e-07,0.0,0.0,0.0
ET_Pfur_74_2017,106181,0.2916421802041173,-0.038105508898593314,-0.02114353105721763,0.010332606810904196,-0.006644591143586944,-0.010938819224299323,0.0,0.0,0.0
ET_Pfur_30_2019,106238,0.2919570686013284,-0.03820926076621447,0.01153494097090057,-0.0003321205522653424,-0.0010561014386972743,0.004046441450450448,0.0,0.0,0.0
proportion_explained,0,0.7147875262904038,0.2812560500872595,0.0028655410398621857,0.0007114673975482763,0.00029232663234846063,8.708855257781446e-05,0.0,0.0,0.0
