sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121
CH_Ssid_46_2017,106105,0.3142755201086821,-0.3514272082534985,-0.02268773058543221,-0.039968157231919,0.008500676246695968,0.007288341796786979,-0.00406629474720943,-0.0012679553861546682,-0.01737945602091938,-0.002478372668873825,0.06876605568822011,-0.03319510977462858,-0.009910083248523483,-0.005113511005391708,-0.04359719943971012,0.028346715274952423,0.008874504186247242,-0.036264023996958585,-0.008100798499076965,0.036066714654763216,0.015141629711008131,-0.020412475447577558,-0.016259179887253773,-0.0352102704500665,-0.031068344005564026,0.034276536344956754,-0.014181644321194174,-0.038926140855270935,-0.0016835460643769445,-0.005656490715592444,0.013856164578760832,-0.018478868048003482,-0.0001677142496117588,-0.012829777713745256,-0.002896449276759881,-0.008995865492756286,0.002891428433365734,-0.004093403826806793,0.0029713676254890567,-0.005071701380016222,0.008015193094970076,0.007622852999970691,-0.018475332495110484,0.0009518294950041951,0.009753432326859253,-0.0019852079485407482,-0.00606758286992682,7.09238858103056e-06,-0.01228197678645803,0.0035095431500362915,0.008007189867779789,-0.0015932130009521678,0.002976939340720013,0.005807118054060561,0.01781097341522559,-0.001994775385300273,0.007094891806928267,-0.0033193687406657237,0.0055559582417976745,0.004360597786309004,-0.0041840720731682445,-0.0014039496618812647,-0.0006111877891936277,0.0003489816085758818,0.0009748293368178741,-0.004637961372071508,0.0021281398424817712,0.003794807762281855,-0.00468428022892327,-0.0016360121641289544,0.004378964317659237,-0.0033466499683644938,0.0012237581879250513,0.0003983678789122135,-0.00026029883399255504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Ofra_81_2017,106107,-0.5792556519448718,-0.07083446275172965,0.04637416887284838,-0.025278736612191557,-0.005338221159662023,0.0031714606736743833,-0.13094836992818193,0.0018272088578852094,-0.05135370637252563,0.021346456377658692,-0.009188293824943952,0.0022586873906209016,0.09163497495433634,0.0008210271472529908,-0.003706620266331428,0.023703580998991374,-0.006991190926512752,0.021353720109510425,-0.04635010692650988,-0.05109523907604696,0.05645913441154215,-0.02567906960279881,0.0005215514152203251,-0.004130985082282821,-0.005788090469445663,-0.006292160088345241,-0.008120615862900932,-0.010015579289380173,-0.02914237602774418,-0.019735761955400114,-0.006517836780939713,0.0166442561598268,-0.0040880559764386,-0.006080640538083121,0.0026838389334554176,0.01141491161716656,-0.005667222107282806,-0.007422856824125893,-0.005692034217816323,0.0025489115115008313,-0.017752134036156112,0.01420296774461773,0.0004187850353158085,-0.0038916297303873745,0.006495918168528896,-0.0103697756447619,-0.0018839543314602932,0.012187309637474185,0.008345565107410581,0.012952683879571958,0.007241450064625131,-0.018945618133586712,-0.015577597079641573,-0.002900531076236564,0.003834037436892743,-0.001654807597089392,-0.0040557274527957664,0.006609861412270791,0.0006780672738626423,-0.002404049758545405,0.006102385390874236,0.0005303252989814736,0.0018597180691496988,0.009063787330154406,0.005819402842319408,0.00026281678568371885,0.0006080527099057946,0.00037069182896607724,-0.000357730660030292,0.00048071905539998734,-0.0011608681365052585,0.0012719350682482942,-0.00012128692378063227,0.000251388090175605,-0.0001127678332204607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Ofav_03_2017,106110,-0.558473671122204,-0.06626679970651123,0.04517008235902422,-0.03241791608995758,0.008325990088376943,-0.002718409705198631,-0.1372753139927146,0.021120624794595977,-0.05948062351940057,0.03162970215600297,-0.008064973100365153,4.686394238792319e-05,0.03567237525199414,0.016288509406541085,-0.008008309696738129,-0.007789716587622505,0.008087337485473082,-0.009890154456091498,0.04166894865359755,0.02402312525081271,-0.028373592132417382,-0.005869862873038661,0.005873300090024977,0.014333560459140247,0.009499315976556292,0.023434544045740788,0.0036773773403029177,0.010995288883950002,0.05791372985435278,0.04765862157856337,0.01400421834404186,-0.02574271112981682,0.008511216338492623,-0.007407640028421866,-0.004457358877025722,-0.010669475127349158,-0.0077945929667896105,-0.002189850256713468,0.00555372584825967,-0.009800092400319973,0.02204657500933332,-0.015902594204166565,-0.002473392281263973,-0.00920526244667393,-0.006683589377304673,0.00962365735139935,0.00024392240556470642,0.009522656573192899,-0.004252081437926966,0.015872989460158065,0.0013314778001292471,-0.017980032062559628,-0.007479729047225109,0.0004089155067249702,0.0002665976459588537,-0.0005318543992521722,-0.007893484165157479,0.004639238560031725,-0.000519705777791912,0.00044450214508443713,0.0038326704590345402,-0.0002762616841224879,-0.0001855463732496234,-0.010325521131102494,-0.006888751768252404,-1.4239982906863802e-05,-0.0008050691531609365,0.0002882426640070017,0.0002591654544248217,-0.0011339452917703463,-0.0005023084329992855,0.0025780439365346223,0.00010600324906808759,-0.00026422752724050155,-6.810687255266139e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Mcav_06_2017,106113,0.2545521520716417,0.32184710679364215,0.2508442926090932,0.03918197438096735,-0.010161643450715912,0.012575703338717324,-0.007322158457477553,-0.019664004654403038,0.0015842342419057273,-0.007903772936787967,-0.01255357951894907,0.005745524573769901,-0.005737416621521867,0.006208347457469148,-0.008794125005338308,0.022043258055176176,-0.018642351325597318,-0.01899690509801911,8.117389246939564e-05,-0.013133843482088722,0.0016009230971178975,0.013512063176044833,-0.010964002365835602,0.009150864972287424,-0.0055735846683321886,0.002331965516997424,0.011702116508894371,-0.006842371061019165,0.024332059983789234,-0.010699757419639331,0.00116586001857841,0.026641147693158226,0.000664560954573739,-0.0008043781187852638,-0.0026531135515558274,-0.01517980222729152,0.011543254258346326,0.0005695550328839931,-0.0015699583125840344,0.002785077394709129,-0.002112364454707475,0.005734102418825392,-0.00482506805309039,-0.0019262125898025925,-0.007158313534092912,0.0019234271139897034,0.006452086476067864,0.002249919595961644,0.000897330990748578,0.0005666333740904839,-0.007113097272598709,-0.005386568950921353,0.00034975224275668725,-0.0007308102828332133,0.011286148775450536,-0.0026922158688293825,-0.004751707979578658,-0.012126375569337659,-0.00801515134941781,-0.00621822169846599,-0.004110729757679546,-0.008340932507203695,-0.00939538882491264,0.0019950548006086918,0.0033725782957808132,-0.0020322824383074136,0.0007504770685518873,0.004680291716774202,0.009529610569386086,-0.001201972533383627,-0.001751793303866403,0.0029823754077911106,-0.000504053730965877,-0.0028901193047974408,0.0004528015874571002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Ssid_07_2017,106114,0.26711120989016907,-0.23784756795533826,0.009244313578782358,0.004565890650817306,-0.00012099729307252424,0.0222104914111647,0.06087705263944925,-0.03361577670543678,-0.12252989580087817,-0.03483951621489304,-0.24463631835657923,0.2205801032906341,0.0035270669264231467,-0.05842700759736379,-0.08703077646246798,0.03281428691451636,0.06721483930612202,-0.030900175394564158,0.004044584807553016,0.03740788479444584,0.0023698074197956785,-0.03670172926711769,0.0036708231523062546,-0.02870671843285563,-0.00515040075709407,0.009980466094024075,-0.0018724957716720863,0.014367826420540977,-0.0012553971799808164,-0.0013440215851040448,-0.007356327752601203,0.005350903873850319,-0.0029527213205643743,0.0015684771702535528,-0.006396298138878765,0.00330186817403577,0.003500384516638303,-0.002127942106933072,0.0032886311970854515,-0.010175692568604318,-0.00938450987188271,-0.0009607021296180433,-0.004762155009825149,-0.0075386217018566315,-0.005858470178890325,6.764529786918654e-05,0.0028589386392014406,-0.00038902261399707556,-0.005731771375696198,0.002374973882667664,0.0005669341448510205,-0.0022472132746992157,0.0028533720791529436,0.0017809267954098857,0.00472492091902607,0.009540415084324252,0.005139354686317993,-0.0006810456118582158,-0.0002477434487718307,-0.0016139270013680786,-0.0019380945762905014,0.0009869558788932044,-0.0022027901007823903,-0.0004512467953439758,-0.0020537798596855458,-0.0015521024001123188,0.002459458852589989,0.0018409148910632032,-0.0012416815728902315,0.006805996746379128,0.007747181687046417,0.0017730079806543633,-0.0033015495469832295,-6.972920555423057e-05,0.00021399958698562028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Oann_80_2017,106116,-0.53924236903292,-0.06580559397533615,0.02815270706859209,-0.005731847311640337,-0.022276697814605256,0.016319874221601555,0.32554574025855726,-0.06589762822789309,0.15899532752633133,-0.040284987703120625,0.011283201597803152,-0.011882466548955448,0.0653829694410219,0.023276200338775317,0.015445179565380066,0.04600847006121383,0.005823983758147363,-0.015504080376277523,-0.06484020816110035,-0.06568096622435884,0.060597691273272414,-0.04645919093405772,0.0023514155198940717,-0.02025615741703333,-0.02149257281716288,0.01186170394926083,0.020336443172532467,0.01574296482122471,0.03577045367650527,0.06339518262725598,0.022934578854554643,-0.002560063425423356,0.023452185592787857,-0.03259623118963547,-0.024249667656614567,0.01982812822865707,-0.04609148227914483,-0.0389861656448024,-0.010145557074432042,0.001593998499760715,0.00404026150243537,-0.0007595897092012912,-0.002738376708481289,0.0007068495429734446,-0.009163187290351286,0.00813488862036067,0.0008593165881688873,-0.002795125845364111,-0.003340738594311593,-0.0016968149129517117,-0.006241401241047241,0.0018378624906369354,0.004135306993477689,0.001267283821151708,0.00042660686453369724,-0.0003408392154538367,-0.000701051148296267,0.00010083546690492348,-0.0017692096843344356,0.0003913843334460423,0.0009743729403099404,-0.0003253433568475049,-0.00027552140296425846,-0.0010268472322391285,-0.0007057585178810598,-5.365951842819127e-05,9.848882551998673e-05,-6.776121442410283e-05,-0.0003884968265146164,4.0223398203956995e-05,-0.00027930482362320015,0.00020210811342732162,-0.00015191524237209795,-1.4035476330156711e-05,1.230638958532826e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Dlab_13_2017,106117,0.21267023757286932,0.21961308351897962,0.17601627657068797,-0.027256466324085623,-0.01394483921798243,-0.07242063561287712,0.03539580114698166,0.05315257967124645,-0.0006805313929232645,0.014041492692821539,0.05623668610118281,0.05037062016494713,0.0318537957079009,-0.06508559976369653,-0.0005959053959727923,-0.12910467810707246,-0.02414793498288504,0.12532513702783027,-0.004290927481201335,0.031026085492613452,-0.026477460179056833,-0.08321000892129216,0.04879750879919791,-0.029053232625546682,-0.0017036809140496124,0.02023060932906264,-0.008899684557484102,-0.020198204090555852,0.013442489198044045,-0.0061830880929313135,-0.0026312288821376743,0.021497619889785942,-0.030524352069828713,0.013980236646524624,-0.003673221380614432,0.03735740594574184,-0.027959030755727456,-0.0035343689794075945,0.0001872266695034508,0.02871906285206316,0.015262256521358122,-0.011645802650353162,-0.011224002491286722,-9.371828455376872e-05,-0.003276307515368464,-0.0071458000178845115,0.005746051550174792,0.006214765124231491,0.010807669925769595,0.0010291345520316564,0.004760063162417862,0.0005610287836047367,-0.0004012961286429896,0.005465169607659218,-0.0027549223194917494,0.0008335306921778801,0.0015076482310656736,0.0010894798826071772,0.0023439130609930487,-0.0023112911802495657,-0.0008987131612748716,0.00045943304832011985,-5.0388905871999794e-05,0.002026892723104946,-0.00043258560131448554,0.002285667144850621,-0.0008132072272409792,7.722255503413684e-05,-0.0005679829926522094,-0.000710769367207835,0.0005530687099291917,0.0002554068973116574,-0.0007171655693275263,0.00010895713562616027,7.054130906667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Oann_24_2017,106120,-0.5234257523636061,-0.06255345842931613,0.03683527840843463,-0.035010563163639846,0.012055065738133414,0.00578952964992919,0.13578227259406758,0.014079195640712512,0.06232134693565791,-0.02444608566641627,-0.004945397143845379,-0.015643123344287874,0.003042069666282708,0.025182528187606718,-0.0046416956449297515,-0.06563361495370289,0.0600874501919657,-0.10459150922090692,-0.042999970910319846,0.013743038915242872,-0.10350018545878185,0.007567526131309083,0.00886847227241059,0.0917271387664129,0.013395455386463091,0.022047261433337583,0.014242771204089838,0.004907252989032552,-0.008660450322190325,-0.08847745724732481,0.006279348247394587,-0.008836888265696109,0.010681624580864309,0.0065034610001216235,-0.019430485677290363,0.0037405360145676757,0.0075606894089929435,-0.01565427285152362,-0.005548159360581208,-0.007831247602734525,0.02279623524927994,-0.017858604262018,-0.007369707302391337,-0.00256168381068838,0.008854006700341876,-0.014139090958885964,-0.0009215545485946287,-0.018106781096533964,0.018853413697584774,0.012372173926764055,0.004230403565206928,-0.0073838843983985315,0.003465847051269527,0.01177483309385451,-0.0010589064945266962,0.0031532078949407147,0.0033572083223286776,-0.0026595113878840537,-0.00556299319758859,0.006001553794137742,0.0006059370381877132,-0.0014367573117410391,-0.0011252836991145472,0.0008183767413937478,0.0011537764489467444,0.0010455394433964175,-0.0003669329970449646,-8.157250316180062e-05,0.0001441123935148893,0.0007598310143250728,0.000417471244279747,-0.0012567260110656992,0.00014402456777940642,0.0004975161775205596,7.433096427263658e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Pfur_14_2017,106121,-0.21353784667166736,-0.22848060073013193,0.1581211262094153,-0.12629891927829623,-0.01363321083990527,0.025392740395686574,0.2093329850657659,0.025845167336688266,0.028341775318326646,-0.0048264780536902245,-0.009866198728031428,0.04103718639207117,0.01877622616021386,-0.03781884388014753,-0.031980848123422834,-0.05458887453512804,-0.015134687293727031,0.06819808288835179,0.02661353272517533,0.02189665796892885,0.034261335131178454,0.0029161241815376633,0.012152661426854517,0.04876217843354629,0.013057275577694484,-0.00037330069110429626,0.006354000936439021,0.01522254916577021,0.02221288140782602,0.010470052469375369,-0.0002830640109237944,-0.005310825950056022,-0.0031521607871003443,0.003615955268827295,0.0007663484000274321,0.003900070184206657,0.022503741342364228,-0.0035132603226458252,0.0011593610149296862,0.006761347993943592,0.0033948293854765012,0.004727946827669201,7.100062788505033e-05,0.00934607990140093,-0.004359922139702363,0.0014899923584839915,0.0014068296004307638,-0.006438378639064715,0.0036926651019477813,-0.0017413971126372682,-0.001967681875203263,0.0007029738526974536,-0.0023833530842669684,-0.003146938342474694,0.0007780464774771201,-0.001086964813380786,0.0007758119728658976,0.00013619744547498804,0.00165798672195724,0.0008200151731898506,0.0011483122513528195,-0.000779670951581713,-0.000230148493115051,0.0001389573103341798,0.00037408635896562587,-0.0008144172763040495,0.0002665541764328048,2.7942461311831448e-05,-7.703671553812385e-05,0.0005292181372176333,-0.0004453387330987095,-0.0006023868132361417,6.905804061137017e-05,0.00011345225175203565,-2.4182279093195105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Pstr_16_2017,106123,-0.456277019672348,-0.027006985871437017,-0.05238444220084403,0.055547880601580196,-0.06133246954636465,-0.08400189231236714,0.08391514569291121,-0.17040121722867635,-0.01327927464715663,0.24088069567836307,-0.010549984662993247,-0.02600922768101472,0.02465319674919472,-0.0035989742796348123,-0.03260257107955145,-0.11409747296548964,-0.04543300456106386,0.014640322243263445,0.09946660234378399,0.03936404203255461,0.06884982544459319,-0.017971150318643606,0.0018425773061661434,0.004271759832749992,-0.024943692285765935,0.022481561040871508,0.05354035568836348,0.04643800438879977,0.036344010404100194,-0.03331839208621079,0.010190323056165261,-0.043005776147110014,-0.011230817316146413,-0.0022759069721813435,0.012020213644813127,-0.006490545550744189,0.008812301408222633,0.031509168275141844,-0.0008032030042565543,0.0050494855774164986,0.0033161469667378992,0.002108152379296312,0.0022988417866498323,-0.00415842541019935,0.002769913666321022,0.0030202045625845513,0.0030274639665650496,-0.002965270163115837,-0.005229037599247875,0.001106119710736599,0.002778105027362188,0.0008056891111489792,-0.0005568040206727328,0.0026739393094050664,-0.001581219793866565,0.0009162183244108098,-0.00027477613336563604,-0.00046136937467839215,-0.0005509820938729316,6.660350505396025e-05,0.0005736929191619119,-0.0004961122458273268,-0.0005303070677456385,-0.00196525786275536,-0.0003489167057454921,0.00010874957715201124,8.983618092592437e-06,0.00013856104276428437,-0.000348702362844271,9.136156397325642e-05,-0.00018625523920384022,0.00029805439443856456,-0.0001236438098243329,0.00012375588583873767,3.12154950741413e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
