sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121
CH_Ofav_03_2017,106110,-0.0528803338001076,0.020553252432529555,0.0023169892043251304,0.0013482945055132405,-0.0009355581546225409,-0.00023344739575220278,0.00040649906580935536,-0.0008378001460350676,-0.002167111110054259,0.0015190879128400626,0.00449558919598966,-0.0002061342933059067,-0.00029675955042641095,-0.0003703899386554824,0.002390541112717355,-0.00031727858170332477,-0.001969449674967961,-0.0009263165184505591,0.001124850312211064,0.00026420878899548574,-0.00045867066389075346,-5.759756662495149e-05,-0.00019852141164466956,0.0013693084675591503,-0.00036931381242072663,-0.00022525208872168736,0.0005218094027886022,0.0006970272114739563,0.00012896105474597647,-0.000904316107751751,0.0006722854410703672,0.0005268143028495724,-0.00084291635245273,-0.00017539383607791657,0.0003430593968712612,0.00018983533223179873,4.487190959439709e-05,0.00039804717591996057,-0.00014667448804302815,-0.00027740112940452164,0.0003263392031956654,1.3949060809699161e-05,0.0001686460525927532,7.807077211311432e-05,0.00019432294192740334,-1.1267280653127756e-05,-0.00014955196183592557,-8.532459316016135e-05,0.00038061386266622575,-0.0002666846935029715,-4.879825756921499e-05,-0.00010856330717831466,8.374407621591486e-05,7.072287756855941e-05,4.053227668906819e-05,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ofra_17_2017,106124,-0.04250986374311234,0.016699195957904096,0.0011099044547904435,-0.00033844243430461576,0.0020730144219523283,-0.00040648798266519056,-0.0005888484979613302,0.0002516224109163097,0.0021925048594736408,-0.0013514147311086471,-0.002751543687544756,0.0029285382774887235,-0.0002302138676052886,-0.0007746265981553434,0.00179609918889578,-0.0001184458213479065,0.0019526210085901836,-0.0008668239233004763,0.0002466211036512899,0.0008040755478247721,0.00010186946364740336,0.0006348921997646805,0.00048200823323535987,-0.0009133325664258793,-0.0006605656241724335,0.0008703552771892242,0.00022522488767964295,-0.0005434525234313984,-0.0005741821256630737,3.7397408210820955e-05,0.0014014914910578736,3.4383397874864216e-06,0.0004794634157863204,0.00013914746455023064,-0.0005638557024630898,-0.00023337320464053725,0.0004269707281606888,-0.0013799623357554894,-0.0005061222037419457,0.0005365731380163104,0.0005220445097282156,0.0004221158523804113,0.0006958530567201449,0.00012528376346963684,-0.00012864927264744989,2.998980560571829e-05,-0.00015129431653502362,-8.539489079964287e-05,0.00018419416967782712,-0.00030287842426027803,-9.82180483518095e-05,-1.436467309368499e-06,1.6336142810679336e-05,3.4905646577112054e-05,7.136643814244039e-05,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ofav_18_2017,106125,-0.052706485290644346,0.02045698000405876,0.0025963172202863784,0.0017367329503241373,-0.001423406530665148,0.0004906575509459223,0.0012896042024930386,-0.0006813751874175242,-0.0030454525663376544,0.0009945439750422688,-9.719056974505662e-05,-0.002422525128114762,0.0013568072691968484,0.0018882515766785728,-0.0026178441504784555,0.0008060378595341179,-0.0017676642277455004,0.0013989266325868375,-0.0007459921229179298,0.0005153272275765953,0.0004814092658211841,0.0007180878666094346,0.0005786196002826268,0.00014971841292258495,-0.00028173173246837227,0.00046626032168644405,1.5221767103686266e-05,0.00016369916168740506,0.00013817364397798626,-0.00017446204401768464,0.0005667124837299627,0.0009109397725049516,0.00024624550772137213,-0.0003135049236972619,-0.0007567550622262479,0.0005120695804451238,1.2836752234631812e-05,0.0007469737632824124,0.0001329239346175123,0.00043010997660930127,-6.340215392259482e-06,0.0001075240666513273,0.00045956540213396414,0.0001691098328526828,5.3241978098032486e-05,-2.8698582181697784e-05,0.0003936526040480814,0.00033679333261779393,-4.54711543566673e-05,0.00010194431287609631,0.0001278826188881327,-0.00013148170175236558,1.5246937861499756e-05,5.8862811995894703e-05,-1.3649994979983432e-05,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ET_Ofav_32_2017,106139,-0.051316657579780545,0.01995875599870625,0.0023795502702738352,0.001409947484339342,-0.0008309963042059273,0.00040536192997833953,0.0010226056873409604,-0.0003311249768542485,-0.0018939729709177683,0.00045759704010504577,-0.0011196665471821573,-0.0028536884459306093,0.0020421496054888635,0.002400740604323026,-0.0010206982132389157,0.0007778270421891786,-0.0018039444760583412,0.0014295451813934777,-0.0004572589918913446,0.0007707535969482056,0.00015686443694656023,0.0007742781057194304,0.0004415142357616147,0.00019772609755166242,0.0002665121377424973,4.721102336416446e-05,-0.0006764206548053374,-0.0002912529160343424,-0.0002917623183501128,0.0008982207685778693,-0.00010529177462601763,-0.00023975939871093689,0.0017432764787724936,1.3188075072491588e-05,-0.0003250981584828024,-0.00025492164650183364,-0.00038080073230927815,-0.00013130890278642427,-7.049464088561259e-06,-2.3569743629080497e-05,0.00015863480625620023,2.6023727764575218e-05,1.4382456420015727e-05,-0.00010274031677520753,-0.00042709314929727677,0.00011813957489428646,-4.944627948411472e-05,3.645623645742311e-05,-9.665745073219154e-05,-3.3033812457924105e-05,-4.13290975865174e-05,1.968272969053893e-06,-4.25325667078864e-06,1.022223253110225e-05,3.172079929177837e-05,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Ofav_47_2017,106142,-0.04963070970993269,0.019240761822848583,0.0020787256688384616,0.0009639169956996925,0.00011579827852783894,0.0012026468179620986,0.0006014226829220701,0.0007801476415938664,-0.0005641686667389417,-3.1239052022572783e-05,-0.0037358269798575643,-0.006135105153050919,0.0009041703695233862,-0.0008020166799696586,-0.0007376965722327026,-0.0006925278705080849,0.0007702308463458078,-0.0006411852426353215,0.0008796171882757587,-0.0014776541602683066,-0.00014623727952775778,-0.0009841402350844182,-0.0004542418847152953,-0.0010553851037079353,8.001044221496961e-06,0.0002406023552579083,0.0002983123279591212,-0.00045648520106481136,-0.00021628333857300712,9.891416167132395e-05,0.0008344925370047165,1.9523257135377677e-05,0.00019747041386442392,-0.00024293248013926,-0.0001702842182602072,8.994046182742069e-05,-0.00016238482500501345,0.00037075651624832314,0.00020127895093313586,-0.0002127122762954018,0.00021607549921508754,-0.000311090350130025,-0.00042312801575667737,-9.078337208589037e-05,8.063310308402681e-05,0.00016395935440232263,0.000429822375922701,-0.0001699432229997487,0.00021515517509165485,-7.522360283966143e-05,-9.993491178672291e-05,0.000143559218853785,-4.927723609474324e-05,4.451685024965302e-06,7.194056866747728e-05,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ET_Oann_38_2017,106145,-0.0440063826441844,0.0172915218577327,0.0011640603021392383,-0.00027163133687174566,0.0019669439575975617,-0.0003835056955989242,-0.0007066845505912196,2.106753140026624e-05,0.0020487824503989125,-0.0014430076576567342,-0.003985135801584931,0.002456368401039334,0.00013980670306275924,-0.0002200840230672406,0.000983240778653341,-0.00017335172298679454,0.0011932722380358842,-0.000509685696621597,0.001241639360547523,0.0014051274110203737,-0.0012669699820760578,0.0010316279435204562,0.000333465904438945,-0.00010209629312209252,-0.00018609964968477327,0.00044450349875379175,-0.00015307463755940046,-0.00024530399785652337,2.106928303460421e-06,4.725949517230529e-05,-0.0008913226866249781,0.00018133766141350958,0.000123983668987432,0.00027811720368754885,-0.00013836219420218298,0.0001543495168432174,0.00024304135831544957,0.0004038719742237952,-1.7927052465137094e-06,-0.0001944468571817796,-1.758983633170773e-05,-0.0003860117826473095,-0.00020894404921806856,0.00022726357661754994,0.0007400398981500721,-0.00019691934070260173,-0.0003448633636798654,-0.0001316644792678185,8.028527907253588e-05,0.00021945375044609983,0.00018666562365548747,-0.00015722864634395856,0.00010916953416759167,-6.835996421394427e-05,3.0961513741184946e-05,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ET_Ofra_40_2017,106147,-0.05165001414299834,0.02016254107057058,0.002190962060303389,0.0011299974524137267,-0.0003839538940903164,-9.344362661477552e-05,0.0003009301236397729,-0.0006783428465112321,-0.0014027115573581545,0.0008954807390736245,0.0021983827610258687,0.00028855897432442166,-0.00037826194867280786,-5.7248096160157085e-05,0.0021916106564879513,-0.00026558029616770274,-0.0007354572054995658,-0.00027583056395570084,0.0005100770945881508,0.00045688687421630773,-0.0018349450924806938,-0.00032980694719685045,-0.0007759151469913375,-0.00048775048929363156,0.00024834536478321055,-0.0004108023159425375,0.00016660013487255625,-0.0007132740126275126,-0.00013350301035197962,-0.0004855779762317835,-8.207601399710738e-05,-2.1126869285382013e-05,-0.00011693166727812803,0.00035738354967822494,0.00033689863948140606,-4.4664084351338514e-05,0.00036313975211316933,0.00015168538932556304,-0.00019855333265322218,-0.00020707319987771895,2.9417463964563837e-05,0.00014613166111514234,-0.00010296615482049071,-0.0002721024206748248,-0.0007120313605143912,0.0003648868228306685,0.00023091213594393813,0.00034106846598796716,-1.6331567393237818e-05,-3.7177922905549475e-05,-9.07213819127703e-05,-1.6590475074790605e-05,-2.182101551273625e-05,4.400061026583505e-05,7.269487069351814e-05,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Oann_56_2017,106158,-0.05467493918435657,0.0211714023889163,0.002521611094359953,0.0016688986624389971,-0.001409352203671938,9.091238084900837e-06,0.0004890401945633698,-0.0015183583067956436,-0.003004948083974954,0.0011675305975689023,0.0015530497191926606,0.003642791130615301,-0.002290103453395516,-0.0016305333494378285,-0.004131391678091856,-0.00018654995124434256,0.001681548764707261,-0.0004607902614254787,7.499997059548203e-05,4.6247897701743764e-05,0.0008536070070848398,0.0007315890142727705,0.0007558209090203718,-0.0003053366917037182,-0.0003287447276527114,0.0007282534291305774,-0.0001547716796096404,-0.0003472517192382892,-0.0005064726226060521,0.00025645220663893904,0.0014000548296980498,2.0841071776435577e-05,0.0006657826387254823,-0.00021403147176742845,0.0017817871743385624,-0.0002915940435356022,0.0002589943876421511,0.000346257933310926,0.00010482145196829346,-0.0004422540966551604,0.000632714787803167,-0.0006017659227860175,-9.267360740792685e-05,9.026365619937957e-05,4.7455235170759486e-05,5.483892214584297e-05,3.146260420749623e-05,0.00027047777889426547,-4.29312892503153e-05,0.00012233511762492727,6.99862331237915e-05,-0.00010187861734001845,2.3867069995601553e-05,3.5419921208605716e-05,-6.50933977272615e-06,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ET_Ofra_59_2017,106164,-0.04775268057432644,0.018563787650319227,0.001725777936639909,0.0004844778956389949,0.0007140083044125793,5.586679897838282e-05,-1.1015546802432359e-05,0.0005266143877700488,0.0016479938658406977,-0.0010938640828183333,-0.002671121625510598,-0.001519734722278431,0.0021274072531550703,0.0022018784824042923,0.0038868939567639265,3.342298180537046e-05,0.002816387603465728,-0.0004588499894906187,-0.0015015554440858203,0.0020376606334401755,0.00013698461561261762,2.6776067932305203e-05,-0.00030549665818666114,-0.0016322443451656423,-0.001646009861518518,0.0010833903674420302,0.001394339573926818,-0.000371374550060993,0.0014850068975247224,-0.0009654976852660866,-0.0012195147003183097,0.00023242334848309283,-3.23091155338941e-05,-0.0002904218079000652,0.00096122095364436,-0.0001233102224845353,-3.495584119150677e-08,-7.320654716650529e-05,8.778302089373303e-05,0.00014155995670180838,-4.957448974807853e-05,-5.892282091392632e-06,-1.7676473324859577e-05,2.8415722576629317e-05,8.203334887905595e-06,1.989966527465096e-05,0.00017254223351131527,-1.4211183371072216e-05,-4.7565688850179625e-05,2.466015060667562e-05,-7.2834367362597425e-06,4.464063978900473e-05,-4.1533724698124885e-05,4.973309448824562e-06,-2.1413528155795018e-05,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ofav_64_2017,106169,-0.053055707576788395,0.02057876066757132,0.0026442240979748077,0.0017943047831164513,-0.001517948100940562,0.0004604887503963985,0.0013902836717061206,-0.0005128772533082814,-0.0029007360167494995,0.0008780741548032601,-0.0008063031051478846,-0.002850712766142057,0.0017788309852927065,0.0020148000702733815,-0.0015782053216696762,0.0010049423620679724,-0.002051716931770254,0.002041639295010175,-0.000550764619731339,0.000940706572567142,9.490503920838745e-05,0.0007463032690303217,0.0007963083833754489,-0.0006094736025231952,0.00015351701753758005,-7.811250779857072e-05,7.284194544512719e-05,-4.946641951528132e-05,-0.00032280395757026373,-0.0004649066084045975,0.0003019064668998902,-0.0013562582954339442,-0.0013312318114992636,0.0005370601853468378,1.4570211340866571e-05,-0.0002428552380628512,-0.00048057754827400035,-0.0004555097165943731,-0.0003127945172556079,-0.0005405969288015797,0.0002504701828214381,0.0002593819701238663,0.00010907235166965434,5.5217139833696126e-05,0.00016764663555541223,-2.4430598648248784e-06,0.00014117046650745615,-1.3176579269922476e-05,1.149960006690086e-05,5.205867405226356e-05,8.312452377806336e-05,-4.0273290972471587e-05,3.4454919329026955e-06,-1.5762524722193023e-05,-3.6293962879788014e-05,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
