sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
106274	WP_Ssid_57_2019	46530	35654	540	35654	540	0	0	0	0	35239	6	0	0	576	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2019.07.29	9.4
106278	WP_Ssid_26_2019	21728	12420	237	12420	237	0	0	0	0	12202	6	0	0	191	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2017.07.30	9.3
106264	WP_Ssid_46_2019	36598	28630	453	28630	453	0	0	0	0	28307	7	0	0	695	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2019.07.29	9.3
106148	ET_Ssid_41_2017	20519	13943	269	13943	269	0	0	0	0	13740	9	0	0	222	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30018900	64.71677400	2017.07.31	9.5
106183	WP_Ssid_76_2017	25012	18370	333	18370	333	0	0	0	0	18227	8	0	0	506	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2017.08.17	8.1
106233	ET_Ssid_41_2019	23981	17667	332	17667	332	0	0	0	0	17523	11	0	11	327	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30018900	64.71677400	2019.07.24	9.5
106191	ET_Ssid_41_2018	23508	14467	291	14467	291	0	0	0	0	14281	9	0	0	292	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30018900	64.71677400	2018.08.13	9.5
106257	WP_Ssid_38_2019	21728	15476	293	15476	293	0	0	0	0	15288	7	0	0	645	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2019.07.29	9.3
106256	WP_Ssid_73_2019	20061	14815	282	14815	282	0	0	0	0	14737	10	0	0	661	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2019.07.29	8.1
106265	WP_Ssid_47_2019	30485	23676	392	23676	392	0	0	0	0	23285	13	0	12	850	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2019.07.29	9.3
106230	ET_Ssid_44_2019	22012	15458	299	15458	299	0	0	0	0	15300	9	0	0	742	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30018900	64.71677400	2019.07.24	9.1
106247	WP_Ssid_39_2019	23350	16072	315	16072	315	0	0	0	0	15913	10	0	0	655	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2019.07.29	9.3
106168	WP_Ssid_93_2017	35120	25126	432	25126	432	0	0	0	0	24840	14	0	6	993	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2017.08.03	9.4
106262	WP_Ssid_77_2019	51346	40333	583	40333	583	0	0	0	0	39766	13	0	0	1930	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2019.07.29	9.3
