ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
64326	A	A4	S. linucheae	5	5	A4-A4ab-A4aa	29206-50006-891986	0.918[0.005]-0.045[0.004]-0.037[0.007]
64269	A	A3	S. natans,S. tridacnidorum	2	59	A3	22385	1.000[0.000]
64226	A	A4	S. linucheae	1	25	A4	29206	1.000[nan]
64251	A	A13	None	1	3	A13	8181	1.000[nan]
64397	B	B1	S. minutum,S. antillogorgium,S. pseudominutum	15	15	B1-B1x-B1t-B14b-B1af-B1ae-B1ag	4946-53205-693415-29495-698180-29395-89237	0.632[0.044]-0.095[0.013]-0.070[0.022]-0.055[0.022]-0.053[0.012]-0.048[0.011]-0.047[0.006]
64399	B	B19/B5af	None	13	13	B19/B5af-B19e-B19c-B5ag-B19d-B19f-B40a-B19h	37844/891957-891960-891958-891967-891959-891961-891966-892008	0.264[0.021]/0.238[0.022]-0.121[0.027]-0.080[0.018]-0.072[0.013]-0.070[0.009]-0.059[0.010]-0.058[0.019]-0.039[0.018]
64396	B	B1	S. minutum,S. antillogorgium,S. pseudominutum	10	10	B1-B1z-B1aa-B1ad-B1ac-B1ab	4946-30321-29329-891946-891945-891944	0.660[0.091]-0.159[0.046]-0.055[0.021]-0.045[0.018]-0.043[0.019]-0.039[0.015]
64384	B	B1	S. minutum,S. antillogorgium,S. pseudominutum	8	32	B1	4946	1.000[0.000]
64395	B	B19	None	7	7	B19-B5af-B19e-B19c-B19d-B19g-B19f	37844-891957-891960-891958-891959-891962-891961	0.418[0.042]-0.150[0.043]-0.123[0.057]-0.119[0.026]-0.091[0.013]-0.050[0.009]-0.049[0.013]
64400	B	B1	S. minutum,S. antillogorgium,S. pseudominutum	7	7	B1-B1x-B1ai-B5ah	4946-53205-89233-892001	0.694[0.031]-0.184[0.029]-0.064[0.012]-0.058[0.017]
